slug,title,Year,link,blurb,School name,Helpers,Head
OL2015,Who Ruined Christmas?,2015,https://www.amazon.co.uk/Who-Ruined-Christmas-Tim-Cooks/dp/1519756410/ref=sr_1_3?dchild=1&keywords=Who+Ruined+Christmas%3F&qid=1633091623&qsid=258-0243793-4953343&sr=8-3&sres=1684631157%2CB083XVDTJB%2C1519756410%2CB08QZNM11J%2C1477261052%2CB0917TMWLC%2CB085WNFHGR%2CB08WWKZK88%2C1707811997%2CB091D8HPTJ%2CB07X3ZGG85%2CB08R86J2C7%2C1785947060%2C1684012929%2CB00BMQDM10%2CB08G4SZS66,"Christmas time… A mysterious surprise arrives at Mark’s house making everyone sad. But up above was Santa and his evil brother watching every bad or good move they make. A story of friendship,chaos and even tragic death. Coal and Snowman are worst enemies but who will live the longest? Santa and his evil brother hate each other but who will have the last word? So come and join us in this fantastic book and you will have the best Christmas of your life!",Our Lady’s Catholic High School,"[' Miss T Maple', ' Mrs S Wing', ' Mr G Kulbacki', ' Mr N Ranson', ' Mr R Charnock', ' Mr V Bagnoli', ' Mrs M Shelts', ' Miss S Westray', ' Mrs H Crook', ' Mrs J Scott', ' Mrs G Greenwood', ' Mrs P Tunstall', ' Miss P Beig', ' Mrs L Gavell', ' Miss A Consiglio']",Yes
TM2015B3,Dancing with Drugs,2015,https://www.amazon.co.uk/Dancing-Drugs-Tim-Cooks-ebook/dp/B014331VTI/ref=sr_1_1?keywords=Cooks+%22Dancing+with+Drugs%22&qid=1635938968&s=books&sr=1-1,Dancing with Drugs,St Thomas More Catholic School,?,No
LA2015,The Games: The Fight for Freedom,2015,https://www.amazon.co.uk/gp/product/151464584X/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i8,"Dear Contestants, If you want to survive The Game, you will have to endure a world of mad scientists, crazed monsters and serial killers with split personalities. The world is brutal. The people are insane, and the monsters are cruel. But in a world where a brutal dictator reigns over everyone; except a mad scientist with morals that might be even sketchier than the power-crazed ruler. Whose side will our heroes take in a world in which what was right died when the wall went up. Or will they perish with the rest? So. Do you want to play?",Lambeth Academy,['Unknown helpers'],Yes
ChiefControversy,The breakout Zone,2015,https://www.amazon.co.uk/Breakout-Zone-Tim-Cooks/dp/1515001318/ref=sr_1_1?dchild=1&keywords=the+breakout+zone&qid=1633615618&qsid=258-0243793-4953343&s=books&sr=1-1&sres=1515001318%2CB09HFSN7GR%2C0998612200%2C1479143154%2C1801477043%2C1099713420%2CB08JF5KLSL%2CB08HG8YCZY%2C1719558396%2C1079571051%2CB01JJ9JEJK%2C1989118135%2CB08F1T9H9T%2CB092PJ98DL%2CB092PJ5YW1%2CB092PG3P46,"It’s April 2040… this is where two friends Waseem and Husaini’s journey begins! A virus has infected the water supply of continental Europe. They are aged 19 and 20 and are abandoned by the population to survive alone, it may have been an accident but they are still in grave danger. A T.V show follows Husaini and Waseem as they try to survive. The remaining people have been hypnotised to watch without believing it is actually a twisted way to entertain the population while the abandoned suffer a supposedly endless fate. Meanwhile the evil scientist Darren Brown meddles with the virus but soon realises there’s no known cure or no way to kill the infected which are taking over!",Shaftesbury Young People,['Unknown helpers'],#N/A
BF2015,The mystery of the locket,2015,https://www.amazon.co.uk/Mystery-Locket-Tim-Cooks-ebook/dp/B00LETFLGY/ref=sr_1_2?keywords=The+mystery+of+the+locket&qid=1635937093&s=books&sr=1-2,"Lily gets a new neighbour and goes with her Mum to welcome them to the neighbourhood.

When James, the neighbour's, son and Lily first meet they find out they have got a lot in common. They go on an mysterious adventure fraught with danger, solving the riddle of an ancestral locket. ",Blackfriars Academy,['Unknown helpers'],No
TM2015B1,Drowning in Drugs,2015,https://www.amazon.co.uk/gp/product/1511941952/ref=dbs_a_def_rwt_hsch_vapi_tu00_p3_i2,,St Thomas More Catholic School,?,No
TM2015B2,Dashing with Drugs,2015,https://www.amazon.co.uk/gp/product/1511941537/ref=dbs_a_def_rwt_hsch_vapi_tu00_p3_i3,,St Thomas More Catholic School,?,No
Ghost2015,The Adventures of Dash and Webwoman,2015,https://www.amazon.co.uk/gp/product/1514817276/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i3,Normal children by day but when there’s crime they’re superheroes! There are villains to defeat and a mysterious egg to rescue. Why is everyone after the egg?,St Mark’s Church of England (A) Primary School,['Unknown helpers'],
GC2015,Glenburn Sports College - Memories,2015,https://www.amazon.co.uk/gp/product/151434131X/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i11,"On the dark hills around the Skelmersdale Beacon lurks a creature. It preys on the unsuspecting, stealing their memories in it’s search for answers. But it’s taken one memory too many. When a teenager dies while out on the Beacon at night, his friends vow to take their revenge. But there’s more to this monster than what meets the eye. Can the friends unravel the secrets of the creature and the mysterious PezCorp before someone else dies?",Glenburn Sports College,['Unknown helpers'],
CompulsoryAgent,Lurking in the Dark,2015,https://www.amazon.co.uk/Lurking-Dark-Tim-Cooks/dp/1515020614/ref=sr_1_5?dchild=1&keywords=lurking+in+the+dark&qid=1633615513&qsid=258-0243793-4953343&s=books&sr=1-5&sres=B07KVD6YNB%2CB073TF89M3%2CB013TQU6UA%2C194871924X%2C1515020614%2C1480841560%2C0648820823%2C1419728466%2CB08RXH3V6F%2CB07GTV1PFX%2C1848702396%2CB0055CS2KI%2C1951178114%2CB07Q2FZLG9%2C1794555226%2CB01IEJ6Z6G,"Our story is a creative and unique idea. We explore Finley’s life and how he deals with his brother's mysterious death. Joe MacGreggor goes on a scout camping trip in a beautiful forest next to a pristine and tranquil lake. Little did he know about the Shadow Lord and his plan to create an army! Finley decides to look into the death of Joe almost five years after the horrid and unsolved murder. Finely visits the lake when camping with his friends, but little did they know who was lurking in the dark.",Malbank School and Sixth Form College,"[' Mrs Brown and Mr Stockton', ' Mrs Walker', ' Mrs Machin', ' Mrs Harding', ' Mrs Bargery', ' Miss O\xe2\x80\x99Connor']",
IAMS2015,Parasomnia,2015,https://www.amazon.co.uk/Parasomnia-Tim-Cooks-ebook/dp/B0141CN8YC/ref=sr_1_1?keywords=Cooks+%22Parasomnia&qid=1635937747&sr=8-1,Parasomnia!,Islington Arts & Media School,['Unknown helpers'],Yes
TS2015,Notification,2015,https://www.amazon.co.uk/gp/product/1514816938/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i5,"Rebecca has been taken away from her family by a notorious criminal that escaped prison years ago with an old running buddy who soon left him for a different life. When the family realise that their daughter has been taken they meet some old friends that they never really buried the hatchet with. Her mother gives up secrets to Rebecca, leading her to find out things that should not be revealed but that take them into a whole different world.",Thamesmead,['Unknown helpers'],Yes
GN2015,Revenge: It gets you nowhere,2015,https://www.amazon.co.uk/gp/product/151481708X/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i4,"Revenge is taken by many, but who is at fault? Sky goes on her mission to resolve what has been a mystery for the past 18 years. Is it destiny which messed up their lives or was it someone else? When a mysterious person rushes up to Kyle and tells him the truth about his life, his life is turned upside down. Alex tries to solve these mysteries with the help of his unknown right hand. Somewhat quiet, somewhat mysterious, somewhat… riddled. Questions will be asked, mysteries will be solved, crimes will be committed. It’s all going to happen. Will revenge be taken? Will the truth be revealed? Questions will always remain… Find out what happens in this awesome crime-thriller ‘Revenge: it gets you nowhere’.",Guru Nanak Sikh Academy,['Unknown helpers'],Yes
HW2015A,"The Island, the Crystal and Them",2015,https://www.amazon.co.uk/Island-Crystal-Them-Tim-Cooks-ebook/dp/B0173O67Y8/ref=sr_1_2?keywords=%22the+island%22+%22tim+cooks%22&qid=1635937553&sr=8-2,"Rosie is a nice kind-hearted soul but is envious of other people and is not scared to unleash her anger.

Her brother, Corus is extremely smart and a fast learner but this is not very helpful if you're quite shy.

Corus’ best friend is Zach. He is an adventurous guy and funny in a sarcastic way but keeps himself to himself.

They make a good team but when they have to be evacuated and something mysterious appears in front of them. They are transported to a new world and things start to change dramatically. They meet new friends, enemies and a pair of despicable twins. ",Hinchley Wood Secondary School,"[' Maria Cachia', ' Katy Cullen', ' Stuart Holmes', ' Ben Bartlett', ' Mike Robeson']",Yes
BF2015B,Superheroes Save the Day,2015,https://www.amazon.co.uk/gp/product/1514799502/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i7,"So it is a bright day and a school is going to a zoo to look at the gorillas and lions. But what they see is not that. They face a fierce enemy who plans on doing something horrific. It could result in the end of life as we know it it, if the children don’t come together to stop this fierce foe. Can they defeat the super villain in time to protect everyone and everything…? The whole world rests in the balance of just three children, can they save the world...?!",Blackfriars Academy,?,No
KU2015,Walking Through the Ashes,2015,https://www.amazon.co.uk/gp/product/1514208156/ref=dbs_a_def_rwt_hsch_vapi_tu00_p3_i0,"The air is filled with ash, the heat is stifling, and society is falling apart. In the grey and lawless south-west United States Dylan Gallie, a little boy in a small Texas town, struggles to survive with his asthmatic mother. While further north his older sister, Tamie, fights to get back to her family at the same time that Lily Gomez, Tamie’s neighbour and long-time friend, struggles to return to her own home. The chaos and destruction of the new world threatens not just their lives, but their humanity and their hope, as they fight to reunite with their loved ones.",University,?,#N/A
EG2015,The Epic War,2015,https://www.amazon.co.uk/Epic-War-Tim-Cooks-ebook/dp/B014331PZI/ref=sr_1_6?keywords=The+Epic+War+cooks&qid=1635937223&sr=8-6,"The Ancestors: the family which caused the beginning, the end and the battle of the century.
Where blood is located, where death takes place, this is the most exciting book that you are ever going to read in your entire life. You will be defeated with the action, the excitement and the heroes from this book.
In futuristic Brixton, 2080, in a world where superpowers exist. Two teams: crime fighting heroes and money crazed villains. Both of the teams fight to their deaths, who will win? You are about to find out… Take a journey into the book.
Created by children, made for children, the best seller in Brixton. ",Evelyn Grace Academy,['Unknown helpers'],Yes
TM2015A2,Watch us,2015,https://www.amazon.co.uk/gp/product/1511558776/ref=dbs_a_def_rwt_hsch_vapi_tu00_p3_i5,"There is drama at Camp Rushcliffe, and just when it seems like everything is perfect it turns out ‘everything’ is not. Disappearance. Murder. Truth and Lies. Killing is the input, blood is the outcome. Drama becomes reality. All dreams turns to nightmares. Will there be any happy endings?",St Thomas More Catholic School,?,No
WA2015,Sound of Madness,2015,https://www.amazon.co.uk/gp/product/1514249561/ref=dbs_a_def_rwt_hsch_vapi_tu00_p3_i1,They lived a happy life and then something bad happened. What if it was something so bad that they wanted to kill themselves...each other? Brother and sister. Homeless. Heartless. And your parents want to kill you. Would you run or hide?,Westminister Academy,?,No
Will2015,A Twist in Time,2015,https://www.amazon.co.uk/gp/product/1514350556/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i10,"They were pursued. Hunted. Their advance was imminent. They had gone so far, that they could not afford to be held captive now. Paris. The Eiffel Tower. They needed to get there, and quick. Otherwise, they would be doomed for eternity… Johni Stein, an exceptionally talented 12 year old, is a student of a government academy for young scientists. At AFESTY (Academy For Exceptionally Scientifically Talented Youth) HQ, he receives a scruffily written letter, from a man called Andrew Shepardson. Shepardson had allegedly created a time travel device with limitless possibilities. He is sent to prove the validity of these lunatic claims, but an accident nearly results in his demise…",Willows Primary School,['Unknown helpers'],
KH2015,"Spies, Lies, and Disguises",2015,https://www.amazon.co.uk/Spies-Lies-Disguises-Tim-Cooks/dp/1518851649/ref=sr_1_1?Adv-Srch-Books-Submit.x=0&Adv-Srch-Books-Submit.y=0&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&qid=1635937863&refinements=p_27%3ACooks%2Cp_28%3A%22Spies+lies+and+%22&s=books&sr=1-1&unfiltered=1,"Two childhood friends, Will and Tom, are top secret spies working for the B.I.S.P corporation. They venture on several missions and encounter a myriad of adversities and suspicions along the way. Undercover secrets become startling discoveries. A series of exciting misadventures packed full of action, suspense and romance in the streets of London during the late 1930s. Risking their lives for the protection of their country- Who knows what will happen? ",Kingsbury High School,"[' Agnieszka Owczarek', ' Jeremy Waxman ', ' Rachel Kitley ', ' Sandip Das', ' Ben Godsal', ' Dean Bolton', ' Sami Khan', '\\']",
QA2015,Beyond the Mind,2015,https://www.amazon.co.uk/gp/product/1507773064/ref=dbs_a_def_rwt_hsch_vapi_tu00_p3_i6,"When Gregg, Louis and Peter are struck down by mental ill-health, everything changes. But for one of the boys, his condition may not be quite what it seems...",Queen Anne High School,?,Yes
Centaur2015,The Adventure of the Four Friends,2015,https://www.amazon.co.uk/gp/product/1514888858/ref=dbs_a_def_rwt_hsch_vapi_tu00_p2_i2,"When Lucy leaves England for New York, she feels happy for her mother but sad because she is not going to see her best friend, Chloe, all the time. She goes to this new school called St. Ravens. Cara, Cerise and Gracie ask to be her friends but she ignores them and walks away. At lunch time, Lucy gets tricked by the three evil cats, Forax, Borax and Torax, and she decides to work with the girls to try and make the cats and headmistress good. Will they be able to make the cats and headmistress good?… Find out in the story.",St Mark’s CE (A) Primary School,['Unknown helpers'],
GC2014,Perfect Nightmare,2014,https://www.amazon.co.uk/Perfect-Nightmare-Tim-Cooks-ebook/dp/B00LJAYRMW/ref=sr_1_2?keywords=Perfect+Nightmare+cooks&qid=1635937287&sr=8-2,"Are dreams real? In this fantasy, dystopic , thriller, a new world is revealed and it is made up of aspects beyond imagination. Some good and some evil.
Lily and Jason are set on a journey that could change the fate of their lives and the fate of others as well. They realise that their dreams become a reality surprise. It all starts sweet until the horror creeps in and together Jason and Lily enter a world full of tales and unexpected nightmares.
They must save the 23 year old kidnapped Felix Jones, who is out of sight in the real world. They are determined to save him but whilst doing so, they encounter certain fears that they wish they never set their eyes on.
Around them is a constant changing world and to their amazement, they discover that they have the power and ability to do and change things. Things that are impossible in the real world.
Wherever they go, it’s a perfect nightmare…",Grey Court School,?,No
CC2014,Behind the screen,2014,https://www.amazon.co.uk/Behind-Screen-Tim-Cooks-ebook/dp/B00L8FLVQI/ref=sr_1_1?keywords=Behind+the+screen+cooks&qid=1635937137&s=books&sr=1-1,"Oliver Thompson was a 16 year old, friendly, sporty and smart; the ideal student. So why did

he kill himself?

With emotions running high, three teens are drastically affected by an old friends passing,

each with secrets of their own that they wish to protect. Their insecurities emphasised to

bring their inner demons to life.

A horrible turn of events turns each character’s ordinary day into something out of a thriller.

Who is safe? Who is dangerous?

The question everyone wants to know is: who can I trust?

Suicides, depression, insanity and long walks, is there any peace in Chelsea?",Croydon College,?,Yes
SA2013,Loading,2013,Can't find,,St Aloysius' College,?,No
SC2013,Experimortal,2013,https://www.amazon.co.uk/Experimortal-Tim-Cooks-ebook/dp/B00DJUTFNQ/ref=sr_1_1?keywords=Cooks+%22Experimortal%22&qid=1635938867&s=books&sr=1-1,"Vladimir Alatyrtsev watches his marriage fall apart, as his wife, Jennifer, begins a secret affair with a beguiling scientist. Unable to feel any human touch from birth, Vladimir must learn to overcome his own demons in order to save their relationship.

Jennifer and Iris’ forbidden love results in Iris engineering a trap to remove Vladimir permanently. But, after an experiment turns into a nightmare, Vladimir is bestowed the power of immortality and begins to run from time and from his broken heart at Jennifer’s betrayal.

When the remnants of the past resurface in modern day London, Vladimir has no choice but to face his responsibilities. He is not a hero but he must put aside his years of self pity in order to protect the last of his descendants from the forces that have discovered their ties of blood. ","Strode’s 6th Form College, Egham",?,Yes
HF2013,Behind the Lies,2013,https://www.amazon.co.uk/Behind-Lies-Tim-Cooks-ebook/dp/B00DWL9SDY/ref=sr_1_1?keywords=%22Behind+the+Lies%22+cooks&qid=1635937460&s=books&sr=1-1,"Who knew a locket could cause so many problems?

As a young child, Elizabeth Miller was left on the doorstep of Mr and Mrs Smith’s home. She was left with a locket and a note. Given the locket and the note on her 18th birthday, little did she know the story behind them.

Behind The Lies is an exciting mystery thriller. Set in London in the 1920s the book tells a dramatic tale of love, lies and loss. ",Highbury Fields ,?,Yes
WA2012,Deception of Success,2012,https://www.amazon.co.uk/gp/product/1470000245/ref=dbs_a_def_rwt_hsch_vapi_tu00_p3_i7,"“My senses heighten. Every snapping twig sends jolts through my spine... I can no longer tell up from down.” The end has brought a new beginning, when young teens try desperately to ‘fit’ into the adult world - only to get lost in a tangle of corporate mess. Darren is a seventeen year old boy who has constantly tried to please his father. Though that seems to be impossible, he believes his plan to create a group business with his friends will be the final solution. Blinded by greed, the four friends struggle to get their business noticed. Fencing and betrayal follow. Playing a dangerous game of Cludo, who will win and who will be hurt along the way? What happens next...? Bloody chases, lies, treachery, death and pain. What more could you ask for? A crime-thriller with a twist!",Wilmington Academy,?,No
SC2012,A web of lies,2012,https://www.amazon.co.uk/Web-Lies-Tim-Cooks-ebook/dp/B008DZDJXO/ref=sr_1_1?keywords=Cooks+%22A+web+of+lies%22&qid=1635938498&s=books&sr=1-1,"London is very much alive, the Queen celebrates her Diamond Jubilee and the London Olympics is about to rear its extravagant head.
In the midst of it all, Ellie is a young girl eager to jump into the newspaper business. Just as she begins her internship with the broadsheet THE EDGE; however, her father goes missing. She is thrown headfirst into a web of lies, and brought into conflict with ruthless business interests and corrupt politicians. With the aid of her younger sister, Charlotte, Ellie sets out to search for her absent father. What she finds however, will change her world forever...

An exciting crime drama set in the present day where nothing is as it seems, corruption and deceit are the norm, and people are willing to do anything to get their way, Web of Lies is a story of love, danger and spiders. ","Strode’s 6th Form College, Egham",?,Yes
WA2011,Playing with controversy,2011,https://www.amazon.co.uk/Playing-Controversy-Tim-Cooks-ebook/dp/B008I2LDG2/ref=sr_1_1?keywords=Cooks+%22Playing+with+controversy%22&qid=1635939034&s=books&sr=1-1,"Splash! A tear fell to the floor with a clap of thunder from the distance. Shaun must overcome his fears in a game to understand his depressing real life with the help of his friend Candy. Trying to escape this magical world, he finds what he had been searching for and his life changes dramatically. You would never think that having a step father would ever turn this bad! However, with the help of his only friend and a strange creature he meets along the way, will Shaun overcome his fears?

“ Playing with Controversy ” is a dark addictive adventure novel following the desperately miserable existence of an anti-social teenager. Became engrossed into this magical, fantasy, spine chilling book which will keep you on the edge of your seat. Nothing will make you put it down.

Do you think Shaun will ever get out? ",Wilmington Academy,?,No
Beaverwood,Roadkill casserole,2011,https://www.amazon.co.uk/Roadkill-Casserole-Tim-Cooks-ebook/dp/B0076IJPT6/ref=sr_1_1?keywords=Roadkill+casserole&qid=1635937018&sr=8-1,"When Sophie and her friends go to London for a long weekend of
shopping it’s nothing like they first expected. This weekend started
out as a fun trip but soon turned sour with an ex-boyfriend stalking
them, a dog catcher hating them and Nan serving the most unusual
dinner. Plus a couple of twists along the way but that’s not the worst
part, not by far - the whole group gets caught up in a thrilling
murder mystery which results in Sophie calling in help from her
brother Rat. Will he find out who done it and why?",Chislehurst School for Girls,?,No
RHUL2009B,The Delivery,2009,https://www.amazon.co.uk/Delivery-Tim-Cooks-ebook/dp/B004PLNO08/ref=sr_1_2?Adv-Srch-Books-Submit.x=14&Adv-Srch-Books-Submit.y=1&__mk_en_GB=%C3%85M%C3%85Z%C3%95%C3%91&qid=1635938424&refinements=p_27%3Acooks%2Cp_28%3AThe+delivery&rnid=1025612&s=books&sr=1-2&unfiltered=1,"High above the streets of London, Jacob, Riq, Mike and Joseph have learnt how to fly. Free running is their sport and their passion, and it takes them to places that few people ever get to see.
So when they are approached by a mysterious business man who tells them that they can get paid for doing what they love, it seems too good to be true.
Before they know it, they are spiralling into an underworld of deception and blackmail, learning that, in the life they have chosen, it is difficult to know who to trust.
Who will come out unscathed? Or will they all be changed forever? ",University,?,#N/A
RHUL2009,The Shadow Hours,2009,https://www.amazon.co.uk/Shadow-Hours-Tim-Cooks-ebook/dp/B014UTFNZ8/ref=sr_1_1?keywords=Cooks+%22The+Shadow+Hours%22&qid=1635938373&s=books&sr=1-1,These are the shadow hours. ,University,?,#N/A
SUA2021A,Lost In Fire,,,,Staffordshire University Academy,[' Lee Newton'],Google
TEC2021,alt+F4,,,,Tamworth Enterprise College,"[' Jenna Brindley', ' Ben Walker', ' Emma Berry', ' Kirsty Sanders', ' Holly Bridgman']",Yes
HMPHindley,Damage Done,,,,Prison,['Unknown helpers'],#N/A
SUA2021B,One Day or No Day,,,,SCHOOL,"[' ', ' ', ' ', ' ']",#N/A
STMCA2021B,One Day or No Day,,,,SCHOOL,"[' ', ' ', ' ', ' ']",#N/A
SA2021,Ways of Grieving,,,,The Shrewsbury Academy,[' Claire Jackson'],#N/A
Hillhead,The Meltdown,,,,Hillhead High School,"[' Betty D Primus', ' Daniel Boatwright', ' Mr Mac', ' Miss Southern', ' Mrs McAlaney']",#N/A
SWS2021,The System,,,,Sir William Stanier School,"[' Joanna Rankin', ' Emma Johnson', ' Alison E. Johnson', ' Everyone in the English department', "" and special thanks goes to `Many Pretty Blankets'.""]",Google
