slug,title,Year,link,blurb,School name,Helpers,Head
water2017,The Game Heroes,2017,https://www.amazon.co.uk/dp/1542674956,This book is about challenges. It’s about kids teleporting through a computer. You’ve got to watch… you’ve got to beware of Dr Jeff and his evil plan. Can these kids stop Evil Jeff? Can they use their new powers to get through the different levels? Read on to find out what happens next!,Watermill school,"[' Jen Lamidey', ' Louise Gallimore', ' Richard Seymour', ' Jess Fitzgerald', ' Charlotte Bagnall']",
Keele17StMargaret,Murdered in 1851,2017,https://www.amazon.co.uk/Murdered-1851-T-M-Cooks/dp/1548163945/ref=sr_1_89?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-89&text=T.M.+Cooks,"Tick tock… Tick tock… Tick tock… Gore and mystery hides in every nook, every cranny of this novel. Readers, prepare to find yourself transfixed in a warp of time and terror. Unveil the mystery murderer and experience the mind-bending loops and twists this novel will tell! Read, as a group of teenage boys and girls take you on a journey back in time to find their people and mind-boggling mysteries yet to be solved through the Victorian era. Compose your minds as the intricate characters will take you through a terrifying, emotional, empathetic journey as they are put on the spot with hidden clues and abrupt problems… Are you ready? Are you?",St Margaret Ward Catholic Academy,"[' Laura Sargeant', ' Dan Boatwright', ' Alexandra Sparrow', ' Nick Garnett', ' Rebecca Barber', ' Mrs Robinson', ' Mr Smith', ' Mrs van der Mijl', ' Everyone in the English department']",Google
SA2017year8,The Invasion Of Planet X,2017,https://www.amazon.co.uk/Invasion-Planet-T-M-Cooks/dp/1979898316/ref=sr_1_69?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-69&text=T.M.+Cooks,"Tony’s whole life is about to change as his home is destroyed. Planet X, his new home, has some unwanted inhabitants. A tragic war has broken out on the planet causing new friends to be made and old friends to be lost. Will they win the battle for the human life or will they be overthrown? Find out in this thrilling race for human life...",The Sutton Academy,"[' Mr Lovelady', ' Mrs Worrall', ' Mrs Twist', ' Miss Barker', ' Miss Fairfax', ' Mr Wright', ' Mrs Sherman - For allowing the project to take place.', ' Laura Bunyan', ' Adam Steiner']",Yes
TCW2017,Toxic Paradise: A London Story,2017,https://www.amazon.co.uk/Toxic-Paradise-T-M-Cooks/dp/1981268219/ref=sr_1_68?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-68&text=T.M.+Cooks,"Tyreece is a conflicted young musician in a world without rhythm. The unholy trinity of drugs, money and alcohol aren't the only thing to influence his life. But there is one shining light in his life, the beat of the drums like an echo in his heart. Forced to leave the lush countryside of Somerset for the dense forest of tower blocks in Hackney, where both love and hate thrive, Tyreece finds solace and hope in the most unexpected places. He learns that life is to be lived in full joy, and that anyone can change their future by making a difference in the here and now.",The Complete Works,['Unknown helpers'],Yes
mediawall2017,The Scorched World,2017,https://www.amazon.co.uk/Scorched-World-Mix-Live-Writers/dp/1548857416/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1599815015&sr=1-1,"When a young orphan child learns he has a dark secret. He begins to help the townsfolk with his mysterious powers and his childhood friend. He tries to stop the poverty around the land. But when he becomes a problem for the rich king, he starts a sinister plot to undo all of his hard work.",Bath Community Academy,"[' Kate Haines  ', ' Bambo Soyinka ', ' Timothy Byford', ' Andrew Mackney', ' Donna Wiles', ' Alison Hood', ' Clare Weatherall', ' Sally Maud', ' Leila Pickering', ' Lee Bailey', ' Caroline Cowen']",
GN2016,Hatred in the blood,2016,https://www.amazon.co.uk/Hatred-blood-love-heart-Cooks/dp/1535183063/ref=sr_1_2?keywords=Hatred+in+the+blood&qid=1635937351&s=books&sr=1-2,"
We don’t always get what we want, but we will always try anything to get it. Jealousy can consume you, yet power can set you free. Tom yearns for the attention and will stop at nothing to snatch it from Audrey. It all started where all was not what it seemed. Three ordinary, or not so ordinary, friends begin a plot that thickens leading to the demise of one. Revenge or passion has lead to the destruction of friends and foes. Who survives? Who will die? Find out in this awesome crime novel!

",Guru Nanak Sikh Academy,['Unknown helpers'],Yes
G2016,The Mystery of the Hidden Treasure,2016,https://www.amazon.co.uk/Mystery-Hidden-Treasure-Tim-Cooks-ebook/dp/B01EGAAO4Q/ref=sr_1_2?keywords=Cooks+%22The+Mystery+of+the+Hidden+Treasure%22&qid=1635938267&s=books&sr=1-2,"A clique of ten friends living in the same town, find an antiquated paper which turns out to be a map while playing. They set out on a quest to find the hidden treasure in the woods but a bully who despises them, with the help of her sister who is one of the ten friends, also sets out to find the treasure. Will the bully retrieve the treasure first and become the heroine of the town or will the ten friends get it before her and become the heroes?
Join the clique on their quest to find the hidden treasure. ",Special,"[' Jessica Abalo', ' Ama Asomaniwaa Asomani-Adem', ' Ms. Francisca Adomako Mensah', ' Mr. Ishmael Forson', ' Mrs. Eunice Tokpo']",#N/A
WD2016,A Change of Heart,2016,https://www.amazon.co.uk/Change-Heart-TIm-Cooks-ebook/dp/B01GZ4Q3Q4/ref=sr_1_1?keywords=Cooks+%22A+Change+of+Heart%22&qid=1635939078&s=books&sr=1-1,"A girl who has little hope is sent to a mental hospital because of an unknown diagnosis.
She soon finds out a secret about herself that changes everything...
She goes through friendships, sacrifice, betrayal and happiness but before long, a strange man starts to take a peculiar interest in her and then it all changes...
Will anything be the same again? ",Walton-le-Dale Arts College and High School,"[' Andrew McCann', ' Nicola Robinson', ' Sandra Hinchliffe', ' Tony Hill']",Yes
G2016b,Once Upon A Time House,2016,https://www.amazon.co.uk/Once-Upon-Time-House-Cooks-ebook/dp/B01KZY4QI2/ref=sr_1_1?keywords=Cooks+%22Once+Upon+A+Time+House%22&qid=1635938291&s=books&sr=1-1,"Alex and Alexina's cousins, Winter and Wilson are coming to Ghana for a holiday break. Together with Alex and Alexina's friend Raymond, they explore parts of Accra before leaving for a visit to the Central Region. While in the Central Region, they discover something that will change their futures forever. ",Special,"[' Jessica Abalo', ' Ama Asomaniwaa A-Adem', ' Yinsongti Tindana', ' Ama Opokua A-Adem', ' Ms Francisca Adomako-Mensah']",#N/A
AMS2016,The Good Robot	  the Bad Robot	  and the Man That Created Them,2016,https://www.amazon.co.uk/gp/product/1539536718/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i8,"Artificial intelligence is intelligence displayed by machines. What happens when you give them emotions to feel happiness and anger? Zonite is an artificial intelligence, made to bring joy to the world, but what happens when his creator, Professor John, makes a new AI, smarter and more human than him? How will Zonite cope, especially with evil lurking around? Will Zonite get over his feelings and welcome the new AI, or will he let anger take over instead?",Islington Arts & Media School,"[' Ms. Service (Headteacher at AMSI) ', ' All parents & carers of the participants', ' Ms. De Falco', ' Mr. Page', ' Mr. Finn']",Yes
